# object ID       RV mean       chisq (-)  chisq prob (-)
GY-5          -5.996E+00       5.606E-02       3.708E-01
GY-141        -3.086E+00       1.624E+01       1.580E-04
GY-310        -8.287E+00       4.267E+01       1.829E-10
USco-40       -6.814E+00       4.034E-01       7.185E-01
USco-53       -5.745E+00       1.916E+00       4.236E-01
USco-55       -5.395E+00       1.337E+01       7.228E-04
USco-66       -5.672E+00       4.561E+00       9.191E-02
USco-67       -6.632E+00       1.687E+00       4.795E-01
USco-75       -6.913E+00       2.628E+00       2.829E-01
USco-100      -9.215E+00       1.177E+00       6.158E-01
USco-101      -5.490E+00       4.660E+00       8.682E-02
USco-104      -5.995E+00       5.000E+01       4.349E-12
USco-109      -4.401E+00       2.551E+00       2.957E-01
USco-112      -3.421E+00       2.479E+00       3.083E-01
USco-128      -7.268E+00       1.399E-01       5.411E-01
USco-130      -4.845E+00       4.155E-02       3.237E-01
USco-132      -7.199E+00       4.093E-02       3.214E-01
