#       -log(p)      N_expected
     4.343E-06       1.952E+01
     7.897E-02       1.627E+01
     1.579E-01       1.357E+01
     2.369E-01       1.131E+01
     3.159E-01       9.432E+00
     3.948E-01       7.864E+00
     4.738E-01       6.556E+00
     5.527E-01       5.466E+00
     6.317E-01       4.558E+00
     7.107E-01       3.800E+00
     7.896E-01       3.168E+00
     8.686E-01       2.642E+00
     9.476E-01       2.202E+00
     1.027E+00       1.836E+00
     1.105E+00       1.531E+00
     1.184E+00       1.276E+00
     1.263E+00       1.064E+00
     1.342E+00       8.873E-01
     1.421E+00       7.398E-01
     1.500E+00       6.168E-01
     1.579E+00       5.143E-01
     1.658E+00       4.288E-01
     1.737E+00       3.575E-01
     1.816E+00       2.981E-01
     1.895E+00       2.485E-01
     1.974E+00       2.072E-01
     2.053E+00       1.727E-01
     2.132E+00       1.440E-01
     2.211E+00       1.201E-01
     2.290E+00       1.001E-01
     2.369E+00       8.348E-02
     2.448E+00       6.960E-02
     2.527E+00       5.803E-02
     2.606E+00       4.838E-02
     2.685E+00       4.034E-02
     2.764E+00       3.363E-02
     2.843E+00       2.804E-02
     2.922E+00       2.338E-02
     3.001E+00       1.949E-02
     3.080E+00       1.625E-02
     3.159E+00       1.355E-02
     3.237E+00       1.130E-02
     3.316E+00       9.419E-03
     3.395E+00       7.853E-03
     3.474E+00       6.548E-03
     3.553E+00       5.459E-03
     3.632E+00       4.552E-03
     3.711E+00       3.795E-03
     3.790E+00       3.164E-03
     3.869E+00       2.638E-03
     3.948E+00       2.199E-03
     4.027E+00       1.834E-03
     4.106E+00       1.529E-03
     4.185E+00       1.275E-03
     4.264E+00       1.063E-03
     4.343E+00       8.861E-04
     4.422E+00       7.388E-04
     4.501E+00       6.160E-04
     4.580E+00       5.136E-04
     4.659E+00       4.282E-04
     4.738E+00       3.570E-04
     4.817E+00       2.977E-04
     4.896E+00       2.482E-04
     4.975E+00       2.069E-04
     5.054E+00       1.725E-04
     5.133E+00       1.438E-04
     5.212E+00       1.199E-04
     5.290E+00       9.999E-05
     5.369E+00       8.337E-05
     5.448E+00       6.951E-05
     5.527E+00       5.795E-05
     5.606E+00       4.832E-05
     5.685E+00       4.028E-05
     5.764E+00       3.359E-05
     5.843E+00       2.800E-05
     5.922E+00       2.335E-05
     6.001E+00       1.947E-05
     6.080E+00       1.623E-05
     6.159E+00       1.353E-05
     6.238E+00       1.128E-05
     6.317E+00       9.407E-06
     6.396E+00       7.843E-06
     6.475E+00       6.539E-06
     6.554E+00       5.452E-06
     6.633E+00       4.546E-06
     6.712E+00       3.790E-06
     6.791E+00       3.160E-06
     6.870E+00       2.634E-06
     6.949E+00       2.197E-06
     7.028E+00       1.831E-06
     7.107E+00       1.527E-06
     7.186E+00       1.273E-06
     7.265E+00       1.061E-06
     7.344E+00       8.850E-07
     7.422E+00       7.378E-07
     7.501E+00       6.152E-07
     7.580E+00       5.129E-07
     7.659E+00       4.276E-07
     7.738E+00       3.565E-07
     7.817E+00       2.973E-07
