obj id       RV-<RV>
    GY-5            -1.440E-01
    GY-5             3.600E-02
 
    GY-141          -1.304E+00
    GY-141           1.364E-01
 
    GY-310           3.457E+00
    GY-310          -1.434E-01
 
    USco-40         -3.361E-01
    USco-40          1.394E-02
 
    USco-53         -1.525E+00
    USco-53          3.151E-01
 
    USco-55          5.402E-03
    USco-55         -9.846E-01
 
    USco-66          3.519E-01
    USco-66         -7.381E-01
 
    USco-67          6.223E-01
    USco-67         -1.977E-01
 
    USco-75          1.625E-01
    USco-75         -2.967E+00
 
    USco-100         2.455E+00
    USco-100        -1.015E+00
 
    USco-101         1.270E+00
    USco-101        -5.803E-01
 
    USco-104         1.650E-01
    USco-104        -1.485E+00
 
    USco-109         2.512E-01
    USco-109        -8.830E-03
 
    USco-112         7.205E-01
    USco-112        -3.947E-02
 
    USco-128        -1.418E-01
    USco-128         3.282E-01
 
    USco-130         1.527E-02
    USco-130        -1.047E-01
 
    USco-132         1.939E-02
    USco-132        -1.706E-01
 
